,preds,true,detector_name
0,[],"(36692, 36692)",ABCD
1,[],"(29787, 29787)",ABCD
2,[41177],"(34245, 34245)",ABCD
3,[34297],"(31443, 31443)",ABCD
4,[43361],"(31907, 31907)",ABCD
5,[32658],"(27932, 27932)",ABCD
6,[45306],"(40584, 40584)",ABCD
7,[38335],"(34520, 34520)",ABCD
8,[],"(39774, 39774)",ABCD
9,[32483],"(28545, 28545)",ABCD
10,[36664],"(31733, 31733)",ABCD
11,[],"(37032, 37032)",ABCD
12,[40957],"(33002, 33002)",ABCD
13,[],"(39032, 39032)",ABCD
14,[],"(36135, 36135)",ABCD
15,[32690],"(28221, 28221)",ABCD
16,[32025],"(28256, 28256)",ABCD
17,[30811],"(28330, 28330)",ABCD
18,[40686],"(34143, 34143)",ABCD
19,[33884],"(28151, 28151)",ABCD
20,[41074],"(32436, 32436)",ABCD
21,[],"(36087, 36087)",ABCD
22,[39346],"(29614, 29614)",ABCD
23,[],"(39922, 39922)",ABCD
24,[39296],"(34600, 34600)",ABCD
25,[],"(38447, 38447)",ABCD
26,[36334],"(31159, 31159)",ABCD
27,[44070],"(37983, 37983)",ABCD
28,[38300],"(32757, 32757)",ABCD
29,[],"(39817, 39817)",ABCD
30,[],"(40218, 40218)",ABCD
31,[43350],"(30792, 30792)",ABCD
32,[45155],"(34865, 34865)",ABCD
33,[40592],"(32090, 32090)",ABCD
34,[39283],"(32104, 32104)",ABCD
35,[],"(31991, 31991)",ABCD
36,[],"(37748, 37748)",ABCD
37,[],"(30370, 30370)",ABCD
38,[41987],"(37793, 37793)",ABCD
39,[],"(33630, 33630)",ABCD
40,[41373],"(34776, 34776)",ABCD
41,[44254],"(36265, 36265)",ABCD
42,[40282],"(37074, 37074)",ABCD
43,[37311],"(32198, 32198)",ABCD
44,[32549],"(27379, 27379)",ABCD
45,[],"(39323, 39323)",ABCD
46,[36095],"(32537, 32537)",ABCD
47,[],"(36656, 36656)",ABCD
48,[41297],"(36593, 36593)",ABCD
49,[],"(40227, 40227)",ABCD
50,[],"(36692, 36692)",ABCDx
51,[],"(29787, 29787)",ABCDx
52,[],"(34245, 34245)",ABCDx
53,[],"(31443, 31443)",ABCDx
54,[],"(31907, 31907)",ABCDx
55,[],"(27932, 27932)",ABCDx
56,[],"(40584, 40584)",ABCDx
57,[],"(34520, 34520)",ABCDx
58,[],"(39774, 39774)",ABCDx
59,[],"(28545, 28545)",ABCDx
60,[],"(31733, 31733)",ABCDx
61,[],"(37032, 37032)",ABCDx
62,[],"(33002, 33002)",ABCDx
63,[],"(39032, 39032)",ABCDx
64,[],"(36135, 36135)",ABCDx
65,[],"(28221, 28221)",ABCDx
66,[],"(28256, 28256)",ABCDx
67,[],"(28330, 28330)",ABCDx
68,[],"(34143, 34143)",ABCDx
69,[],"(28151, 28151)",ABCDx
70,[],"(32436, 32436)",ABCDx
71,[],"(36087, 36087)",ABCDx
72,[],"(29614, 29614)",ABCDx
73,[],"(39922, 39922)",ABCDx
74,[],"(34600, 34600)",ABCDx
75,[],"(38447, 38447)",ABCDx
76,[],"(31159, 31159)",ABCDx
77,[],"(37983, 37983)",ABCDx
78,[],"(32757, 32757)",ABCDx
79,[],"(39817, 39817)",ABCDx
80,[],"(40218, 40218)",ABCDx
81,[],"(30792, 30792)",ABCDx
82,[],"(34865, 34865)",ABCDx
83,[],"(32090, 32090)",ABCDx
84,[],"(32104, 32104)",ABCDx
85,[],"(31991, 31991)",ABCDx
86,[],"(37748, 37748)",ABCDx
87,[],"(30370, 30370)",ABCDx
88,[],"(37793, 37793)",ABCDx
89,[],"(33630, 33630)",ABCDx
90,[],"(34776, 34776)",ABCDx
91,[],"(36265, 36265)",ABCDx
92,[],"(37074, 37074)",ABCDx
93,[],"(32198, 32198)",ABCDx
94,[],"(27379, 27379)",ABCDx
95,[],"(39323, 39323)",ABCDx
96,[],"(32537, 32537)",ABCDx
97,[],"(36656, 36656)",ABCDx
98,[],"(36593, 36593)",ABCDx
99,[],"(40227, 40227)",ABCDx
100,[],"(36692, 36692)",ADWIN
101,[],"(29787, 29787)",ADWIN
102,"[37037, 37232, 37326, 37373, 43455]","(34245, 34245)",ADWIN
103,"[31932, 32029, 32447, 32742, 32932, 33022, 33391]","(31443, 31443)",ADWIN
104,"[35009, 35054, 35400]","(31907, 31907)",ADWIN
105,"[30636, 31046, 32582, 35171]","(27932, 27932)",ADWIN
106,"[41638, 41679, 41913, 41959, 42005, 43265, 43775]","(40584, 40584)",ADWIN
107,[],"(34520, 34520)",ADWIN
108,[],"(39774, 39774)",ADWIN
109,"[29390, 29439, 29716, 29818, 32685, 33486]","(28545, 28545)",ADWIN
110,"[33258, 33728]","(31733, 31733)",ADWIN
111,"[40906, 40953, 41143, 41182, 44391]","(37032, 37032)",ADWIN
112,[],"(33002, 33002)",ADWIN
113,"[42014, 43289, 44453]","(39032, 39032)",ADWIN
114,[],"(36135, 36135)",ADWIN
115,"[29630, 29680, 30069, 31040, 31130]","(28221, 28221)",ADWIN
116,"[29838, 29977, 32132, 34740]","(28256, 28256)",ADWIN
117,"[29100, 29193, 29289, 29747, 30082, 37690]","(28330, 28330)",ADWIN
118,[],"(34143, 34143)",ADWIN
